event_title,event_url,market_id,outcome_name,probability,volume,timestamp,scraped_at
Highest temperature in London on September 2?,https://polymarket.com/event/highest-temperature-in-london-on-september-2?tid=1756960430533,unknown,Unknown,0.0,0.0,2025-09-05T13:37:10.427731,2025-09-05T13:37:10.427763
Highest temperature in NYC on September 3?,https://polymarket.com/event/highest-temperature-in-nyc-on-september-3-891,unknown,Unknown,0.0,0.0,2025-09-05T13:37:16.628845,2025-09-05T13:37:16.628869
